State,Source,Sector,Gas,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
USA.AR,US,Agriculture,CO2,0.277663,0.27563,0.288164,0.293266,0.335065,0.335853,0.306853,0.340928,0.347355,0.339459,0.37285,0.343898,0.352786,0.402561,0.31257,0.323298,0.338062,0.344783,0.300798,0.248055,0.326042,0.287196,0.373839,0.246219,0.269252,0.288061,0.268732,0.25493,0.259421,0.263912,0.268403
USA.AR,US,Agriculture,N2O,7.131036,6.94153,6.817488,6.888357,7.319276,6.859911,7.433232,6.93153,7.457355,7.00151,7.225478,7.358199,7.246649,7.378636,7.450686,6.444119,7.316479,7.308636,7.130481,7.440113,6.670941,7.365795,7.125684,7.306639,7.459254,7.363274,6.97803,6.928633,7.248868,7.401456,6.706618
USA.AR,US,Agriculture,All GHG,16.62888,17.17402,15.71091,16.96142,17.37004,16.57387,17.50022,16.30859,17.33055,16.98396,17.38151,16.1667,16.83921,16.16838,17.34173,18.08093,17.10806,17.41388,16.1825,17.90287,19.20232,17.18383,17.35861,15.16144,16.38551,16.97361,16.27489,15.83485,16.46139,16.40512,15.94498
USA.AR,US,Energy,CH4,5.249891,5.254022,5.30893,5.265534,5.247067,5.032914,4.87975,4.709626,4.550197,4.266724,4.157105,3.997736,3.688641,3.652357,3.572656,3.497603,3.464732,3.532185,3.968241,4.176505,4.260308,4.24511,4.095056,4.272956,4.06614,4.151971,3.806806,3.976044,3.65155,3.552538,3.537025
USA.AR,US,Energy,CO2,51.35579,50.20244,52.16749,51.04399,54.73985,58.1244,60.61068,59.51787,60.98072,62.82714,63.51677,62.57239,60.48485,61.79301,61.69001,60.32122,62.94283,64.09804,64.12405,62.02276,67.24718,68.34588,67.49191,69.85411,70.32059,59.89683,62.7572,64.47694,70.89329,65.12831,54.61007
USA.AR,US,Energy,N2O,0.766052,0.798035,0.847555,0.868027,0.925148,0.990412,1.036822,1.022448,1.031837,1.029595,1.006252,0.98298,0.958498,0.969323,0.980031,0.926264,0.964953,0.912173,0.885895,0.844426,0.890201,0.904795,0.877628,0.921217,0.909362,0.752602,0.801706,0.807691,0.884326,0.770256,0.618738
USA.AR,US,Energy,All GHG,57.37173,56.2545,58.32398,57.17755,60.91206,64.14772,66.52725,65.24995,66.56275,68.12346,68.68012,67.55311,65.13199,66.41469,66.2427,64.74509,67.37251,68.5424,68.97819,67.04369,72.39769,73.49578,72.46459,75.04828,75.29609,64.8014,67.36571,69.26068,75.42917,69.45111,58.76583
USA.AR,US,Industrial Processes,CH4,0.002292,0.001898,0.001966,0.001881,0.001751,0.001746,0.001828,0.001888,0.00172,0.0017,0.001429,0.000949,0.000916,0.000846,0.00091,0.000946,0.00107,0.001136,0.001177,0.000845,0.000864,0.000984,0.001037,0.001006,0.000922,0.001027,0,0,0,0,0
USA.AR,US,Industrial Processes,CO2,2.386249,2.232902,2.29886,2.440415,2.490076,2.559581,2.600865,2.65105,2.728933,2.709972,2.727648,2.558102,2.862879,2.847112,2.892336,2.782039,2.980887,3.080526,2.943334,2.112112,1.538566,1.509285,1.584133,1.011774,1.19683,1.233266,1.235637,1.433176,1.521007,1.553181,1.561849
USA.AR,US,Industrial Processes,N2O,0.039359,0.038186,0.036,0.041051,0.041176,0.041365,0.041481,0.044088,0.043999,0.043921,0.043875,0.043658,0.039103,0.039043,0.039042,0.039131,0.03933,0.039337,0.571712,0.494428,0.483391,0.872238,0.69139,0.393,0.643942,0.507292,0.065349,0.296381,0.334708,0.095725,0.082585
USA.AR,US,Industrial Processes,F-Gas,0.332008,0.320504,0.331767,0.372031,0.456035,0.634932,0.758971,0.876322,0.934918,1.034001,1.104412,1.171627,1.202524,1.239014,1.269044,1.305229,1.364931,1.432744,1.512174,1.929621,1.924694,2.267567,1.897613,1.95143,2.172225,2.152612,2.206202,2.211958,2.194076,2.266669,2.269652
USA.AR,US,Industrial Processes,All GHG,2.759908,2.593491,2.668594,2.855379,2.989038,3.237624,3.403144,3.573348,3.70957,3.789594,3.877363,3.774337,4.105422,4.126015,4.201332,4.127344,4.386218,4.553743,5.028397,4.537006,3.947515,4.650073,4.174173,3.357211,4.013919,3.894196,3.507188,3.941515,4.049791,3.915576,3.914086
USA.AR,US,Land-Use Change and Forestry,CH4,0.537311,0.516294,0.515934,0.515436,0.515131,0.513491,0.512798,0.50922,0.523032,0.514186,0.529593,0.522897,0.525904,0.660019,0.518564,0.529248,0.614188,0.681732,0.495748,0.500248,0.595897,0.521925,0.503525,0.628065,0.583868,0.522624,0.670363,0.58712,0.495865,0.553368,0.534866
USA.AR,US,Land-Use Change and Forestry,CO2,-49.1811,-48.2504,-47.4691,-47.0589,-46.2404,-45.4412,-45.3629,-44.4213,-44.1135,-43.0089,-42.3478,-42.3621,-41.7695,-40.4236,-39.7653,-39.0381,-36.8253,-36.6205,-36.0333,-35.4751,-35.8169,-34.8073,-34.6099,-34.5865,-35.135,-35.6692,-35.7701,-35.4707,-35.0299,-34.6494,-34.4498
USA.AR,US,Land-Use Change and Forestry,N2O,0.013477,0.013462,0.016107,0.017604,0.017169,0.020426,0.021028,0.017109,0.03123,0.019324,0.048055,0.03548,0.035559,0.206681,0.055837,0.064445,0.202315,0.281132,0.023026,0.027371,0.151396,0.050999,0.024697,0.19221,0.129867,0.045375,0.242661,0.130324,0.01465,0.077574,0.056947
